OH,6.25
PA,6.75
MI,5.75
IN,6.00
IL,8.64
ME,5.50
MA,6.25
RI,7.00
CT,6.35
NJ,6.85
DE,100.00
MD,6.00
DC,5.75
NY,8.49
WV,6.29
VA,5.63
NC,6.90
SC,7.22
GA,7.00
FL,6.80
KY,6.00
TN,9.46
AL,9.01
MS,7.07
MN,7.30
IA,6.80
MO,7.89
AR,9.30
LA,9.98
ND,6.78
SD,6.39
NE,6.89
KS,8.62
OK,8.86
TX,8.19
MT,100.00
WY,5.40
CO,7.50
NM,7.55
ID,6.03
UT,6.76
AZ,8.25
WA,8.92
OR,100.00
NV,7.98
CA,8.25
AK,1.76
HI,4.35
VT,6.18
NH,100.00
